"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H14605","Khoa Dược - Bệnh viện Y học cổ truyền Đồng Tháp","","78 đường 30/4, 1, Cao Lãnh, Đồng Tháp","","","","","DC000008","K40, K09","T05","",
"H14606","Khoa Dược - Bệnh viện Phục hồi chức năng Đồng Tháp","0277 3874 525","167 Tôn Đức Thắng, 1, Cao Lãnh, Đồng Tháp","","","","","","K38, K09","T05","H14606.jpg",
"H14607","Khoa Lao - Bệnh viện Đa khoa thị xã Sa Đéc","0277 3770 263","153 Nguyễn Sinh Sắc, 2, Sa Đéc, Đồng Tháp","","","","","","K13, K36","T05","H14607.jpg",
"H14608","Khoa Dược - Bệnh viện Quốc tế Green","0225 3786 555","738 Nguyễn Văn Linh , Niệm Nghĩa, Lê Chân, Hải Phòng","Thứ Hai - Thứ Tư: 00:00 - 23:59
Thứ Năm, Thứ Bảy: 00:00 - 23:59 , 00:00 - 23:59","","","","","K09","T05","H14608.jpg",
"H14609","Khoa Khám bệnh - Bệnh viện Y học cổ truyền Bắc Ninh","02413820994","Thanh Phương, Vũ Ninh, Bắc Ninh, Bắc Ninh","","","","","","K16, K40","T05","H14609.jpg",
"H14610","Khoa Điện tim - Bệnh viện Nguyễn Trãi","0283 9235 020","314 Nguyễn Trãi, 8, Quận 5, Hồ Chí Minh","","","","","","K35, K29","T05","H14610.jpg",
"H14611","Khoa Khám bệnh cấp cứu - Bệnh viện Phục hồi chức năng Hà Tĩnh","0239 3856 657","223 Nguyễn Công Trứ, Thạch Quý, Hà Tĩnh, Hà Tĩnh","","","","","","K14, K16","T05","H14611.jpg",
"H14612","Khoa Nhi - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K21","T05","H14612.jpg",
"H14613","Khoa Ngoại Chấn thương - Bệnh viện C Thái Nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","",", K02","T05","H14613.jpg",
"H14614","Khoa Ngoại - Bệnh viện Đa khoa Vĩnh Đức","0235 2464 644","Thôn 8A, Điện Nam Trung, Điện Bàn, Quảng Nam","","","","","","","T05","H14614.jpg",
"H14615","Khoa Dược - Bệnh viện Đa khoa thành phố Quy Nhơn","0256 3892 973","114 Trần Hưng Đạo, Hải Cảng, Quy Nhơn, Bình Định","","","","","","K09","T05","H14615.jpg",
"H14616","Khoa Xét nghiệm - Bệnh viện Đa khoa huyện Cẩm Khê","096 462 14 14","Khu 13, Sông Thao, Cẩm Khê, Phú Thọ","","","","","","K39","T05","H14616.jpg",
"H14617","Khoa Mắt - Bệnh viện C Thái nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","","K20","T05","H14617.jpg",
"H14618","Khoa Nội Tổng hợp - Bệnh viện Đa khoa huyện Vũ Thư","0227 3826 306","Minh Quang, Vũ Thư, Vũ Thư, Thái Bình","","","","","","","T05","H14618.jpg",
"H14619","Khoa Y học cổ truyền - Bệnh viện Đa khoa tỉnh Vĩnh Long","0270 3823 520","301 Trần Phú, 4, Vĩnh Long, Vĩnh Long","","","","","","K40","T05","H14619.jpg",
"H14620","Khoa Phụ sản - Bệnh viện Đa khoa Thanh Chương","0238 8971 235","Quốc lộ 46, Thanh Chương, Thanh Chương, Nghệ An","","","","","","K25","T05","H14620.jpg",
"H14621","Khoa Phục hồi chức năng - Bệnh viện Đa khoa tỉnh Nam Định","0228 3868 171","2 Trần Quốc Toản, Ngô Quyền, Nam Định, Nam Định","","","","","","K38","T05","",
"H14622","Khoa Sản - Bệnh viện Đa khoa khu vực Bắc Bình Thuận","0252 3860 891","6 Hài Thưỡng Lãn Ông, Chợ Lầu, Bắc Bình, Bình Thuận","","","","","","K25","T05","",
"H14623","Khoa Xét nghiệm - Giải phẫu bệnh lí - Viện Y học Hải quân","","13 Phạm Văn Đồng, Anh Dũng, Dương Kinh, Hải Phòng","","","","","","K39, K11","T05","H14623.jpg",
"H14624","Khoa Nội tim mạch - Lão học - Bệnh viện Đa khoa khu vực Đầm Dơi","0290 3858 011","Khóm V, Đầm Dơi, Đầm Dơi, Cà Mau","","","","","","K18","T05","H14624.jpg",
"H14625","Khoa Liên chuyên khoa - Bệnh viện Đa khoa huyện Yên Định","0237 3869 206","Tân Ngữ, Định Long, Yên Định, Thanh Hóa","","","","","","K24, K26, K20","T05","H14625.jpg",
"H14626","Khoa Liên chuyên khoa Tai Mũi Họng - Răng Hàm Mặt - Mắt - Bệnh viện Đa khoa khu vực Yên Minh","096 527 17 17","Tổ 6, Yên Minh, Yên Minh, Hà Giang","","","","","","K24, K26, K20","T05","H14626.jpg",
"H14627","Khoa Dược - Bệnh viện Đa khoa Cửa Đông","0238 3569 888","136 - 143 Nguyễn Phong Sắc, Hưng Dũng, Vinh, Nghệ An","","","","","","K09","T05","H14627.jpg",
"H14628","Khoa Cấp cứu - Hồi sức - Bệnh viện Đa khoa khu vực Cái Nước","0290 3883 397","Khóm 2, Cái Nước, Cái Nước, Cà Mau","","","","","","K14","T05","H14628.jpg",
"H14629","Khoa Nội Tổng hợp - Bệnh viện Đa khoa Dầu Giây","0251 3767 474","Bàu hàm II, Quang Trung, Thống Nhất, Đồng Nai","","","","","",", K23","T05","H14629.jpg",
"H14630","Khoa Dược - Bệnh viện Lao và Bệnh phổi Bình Định","0256 3848 687","Tổ 2, Khu vực 5, Nhơn Phú, Quy Nhơn, Bình Định","","","","","","K13, K09","T05","H14630.jpg",
"H14631","Khoa Hồi sức tích cực - Chống độc - Bệnh viện Đa khoa tỉnh Vĩnh Long","0270 3823 520","301 Trần Phú, 4, Vĩnh Long, Vĩnh Long","","","","","","K14, K17","T05","H14631.jpg",
"H14632","Khoa Vật lý trị liệu - Y học cổ truyền - Bệnh viện Đa khoa tỉnh Kiên Giang","0297 3863 328","46 Lê Lợi, Vĩnh Thanh Vân, Rạch Giá, Kiên Giang","","","","","","K40, K38","T05","",
"H14633","Khoa Giải phẫu bệnh lý - Bệnh viện Nguyễn Trãi","0283 9235 020","314 Nguyễn Trãi, 8, Quận 5, Hồ Chí Minh","","","","","","K11","T05","H14633.jpg",
"H14634","Khoa Hô hấp - Phòng khám Đa khoa Hà Nội - Bắc Giang","0240 6252 568","9 Nguyễn Thị Lưu, Trần Phú, Bắc Giang, Bắc Giang","Thứ Hai - Chủ Nhật: 07:00 - 17:00","","","","","K13","T05","H14634.jpg",
"H14635","Khoa Dược - Bệnh viện Đa khoa Đông Âu","0238 3847 799","98 Mai Lão Bạng, Nghi Phú, Vinh, Nghệ An","","","","","","K09","T05","H14635.jpg",
"H14636","Khoa Dinh dưỡng - Bệnh viện Nguyễn Trãi","0283 9235 020","314 Nguyễn Trãi, 8, Quận 5, Hồ Chí Minh","","","","","","K08","T05","H14636.jpg",
"H14637","Khoa Chẩn đoán hình ảnh - Bệnh viện Đa khoa huyện Cẩm Khê","096 462 14 14","Khu 13, Sông Thao, Cẩm Khê, Phú Thọ","","","","","","K01","T05","H14637.jpg",
"H14638","Khoa Dinh dưỡng - Bệnh viện Đa khoa thị xã Sa Đéc","0277 3770 263","153 Nguyễn Sinh Sắc, 2, Sa Đéc, Đồng Tháp","","","","","","K08","T05","H14638.jpg",
"H14639","Khoa Khám bệnh - Bệnh viện C Thái Nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","","K16","T05","H14639.jpg",
"H14640","Khoa A10 - Bệnh viện Đa khoa tỉnh Hà Giang","0219 3886 411","11 tổ 10, Minh Khai, Hà Giang, Hà Giang","Luôn mở cửa","","","","","K04","T05","H14640.jpg",
"H14641","Khoa Nhiễm - Bệnh viện Đa khoa tỉnh Vĩnh Long","0270 3823 520","301 Trần phú, 4, Vĩnh Long, Vĩnh Long","","","","","","K36","T05","H14641.jpg",
"H14642","Khoa Cấp cứu - Hồi sức tích cực chống độc - Bệnh viện Đa khoa huyện Cẩm Khê","096 462 14 14","Khu 13, Sông Thao, Cẩm Khê, Phú Thọ","","","","","","K14","T05","H14642.jpg",
"H14643","Khoa Truyền nhiễm - Bệnh viện C Thái nguyên","0280 3862 224","595 Trần Hưng Đạo, Phố Cò, Sông Công, Thái Nguyên","","","","","","K36","T05","H14643.jpg",
"H14644","Khoa Cán bộ cao cấp - Bệnh viện Quân y 175","096 983 10 10","786 Nguyễn Kiệm, 3, Gò Vấp, Hồ Chí Minh","","","","","","K16","T05","H14644.jpg",
"H14645","Khoa Sinh hóa - Bệnh viện Quân y 175","096 983 10 10","786 Nguyễn Kiệm, 3, Gò Vấp, Hồ Chí Minh","","","","","","","T05","H14645.jpg",
"H14646","Khoa Da liễu - Bệnh viện A Thái Nguyên","0280 3846 112","Quang Trung , Thịnh Đán, Thái Nguyên, Thái Nguyên","","","","","","K05","T05","H14646.jpg",
