"DC000070","Cao Ngọc Duy","https://vicare.vn/danh-sach/bac-si/cao-ngoc-duy-7761/tham-my",
"DC000071","Bùi Minh Thìn","https://vicare.vn/danh-sach/bac-si/bui-minh-thin-7246/tham-my",
"DC000072","Trần Thu Nga","https://vicare.vn/danh-sach/bac-si/tran-thu-nga-7248/tham-my",
"DC000073","Nguyễn Thị Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-thi-hien-7249/da-lieu",
"DC000074","Nguyễn Hoàng Hà","https://vicare.vn/danh-sach/bac-si/nguyen-hoang-ha-7077/tham-my",
"DC000075","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000076","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000077","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000078","Nguyễn Phương Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-phuong-thao-1158/da-lieu",
"DC000079","Lê Phi Long","https://vicare.vn/danh-sach/bac-si/le-phi-long-6947/phau-thuat-tham-my",
"DC000080","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000081","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000082","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000083","Đào Thị Xuân","https://vicare.vn/danh-sach/bac-si/dao-thi-xuan-1554/gay-me-hoi-suc",
"DC000084","Nguyễn Thanh Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-thao-15829/tham-my",
"DC000085","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000086","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000087","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000088","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000089","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000090","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000091","Nguyễn Phương Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-phuong-thao-797/phau-thuat-tham-my",
"DC000092","Tạ Xuân Sơn","https://vicare.vn/danh-sach/bac-si/ta-xuan-son-1221/ngoai-co-xuong-khop",
"DC000093","Nguyễn Trần Hạnh Uyên","https://vicare.vn/danh-sach/bac-si/nguyen-tran-hanh-uyen-1222/da-lieu",
"DC000094","Đào Thị Xuân","https://vicare.vn/danh-sach/bac-si/dao-thi-xuan-1554/gay-me-hoi-suc",
"DC000095","E. Victor Ross","https://vicare.vn/danh-sach/bac-si/e-victor-ross-790/da-lieu",
"DC000096","Robert Glen Calderhead","https://vicare.vn/danh-sach/bac-si/robert-glen-calderhead-4569/tham-my",
"DC000097","Shimon Eckhouse","https://vicare.vn/danh-sach/bac-si/shimon-eckhouse-7016/da-lieu",
"DC000098","Trần Anh Tân","https://vicare.vn/danh-sach/bac-si/tran-anh-tan-34827/tham-my",
